Speaker,Text
APPEARANCES:,"NEAL K. KATYAL, ESQUIRE, Washington, D.C.; on behalf"
APPEARANCES:, of Delaware.
APPEARANCES:," NICHOLAS J. BRONNI, Solicitor General, Little Rock,     Arkansas; on behalf of Arkansas, et al. "
APPEARANCES:,Heritage Reporting Corporation   
APPEARANCES:, 
APPEARANCES:, 
APPEARANCES:,   
APPEARANCES:,                                                                   
APPEARANCES:,                                 
APPEARANCES:,                  
APPEARANCES:,               
APPEARANCES:,                
APPEARANCES:,               
APPEARANCES:,                  
APPEARANCES:,                            
APPEARANCES:,               
APPEARANCES:,               
APPEARANCES:,               
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,              
APPEARANCES:,  1   
APPEARANCES:,2   3   4   5   6 7   8   9   
APPEARANCES:,10  1112131415161718192021222324253 Official 
APPEARANCES:,C O N T E N T S
ORAL ARGUMENT OF:             PAGE:," NEAL K. KATYAL, ESQ."
ORAL ARGUMENT OF:             PAGE:, On behalf of Delaware                   4
ORAL ARGUMENT OF:,"NICHOLAS J. BRONNI, ESQ."
ORAL ARGUMENT OF:," On behalf of Arkansas, et al.  37"
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",On behalf of Delaware                   73 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",Heritage Reporting Corporation   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                                   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                  
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                           
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",                
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",              
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",               
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",  1   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",2   3   4   5   6   7   8   9   
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",10 11  12 13  14  15  16 17  18  19  20  21  22  23  24  25  4Official 
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.",P R OC E E D I N G S
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", (11:53 a.m.)
"REBUTTAL ARGUMENT OF: NEAL K. KATYAL, ESQ.", CHIEF JUSTICE ROBERTS: We'll hear
